ID,highsal,interest,challeng,special,mathsci,knowledg,family,hobbies,gooddeg,varied,mother,father,careers,teacher,nobody,insight,encourag,discoura,whodisc,practica,curricul,pleased,relevanc,competit,Mconfid,Fhelp,deadline,assess,interper,quality,supplect,supppers,groupwk,teachhrs,friends,coursewk,theory,practwk,designwk,variety,placemen,experien,money,educatio,jobprosp,jobdecid,industry,perdevel,unigrade,apptheor,finalyr,indchart,placothe,wkexp,placloca,breaked,finuni,nogain,noappeal,noaccept,noplaoth,carpath,furstudy,studarea,salary,location,workenv,people,travel,benefits,training,promot,equalopp,flexible,childcar,workrole,charship,gender,age,ethnic,religion,school,year,dept,uni
1,2.0,4,4.0,5.0,5.0,4.0,4.0,3,4.0,4.0,4.0,5.0,5.0,5.0,1.0,0.0,,0.0,,5.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,,,,,,,,,3.0,1.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,1
2,3.0,5,5.0,4.0,4.0,2.0,5.0,4,5.0,4.0,5.0,5.0,4.0,,,0.0,,1.0,,2.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,0.0,,,,,,,,,,,,,5.0,,1.0,5.0,1.0,,,,3.0,1.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,,3.0,3.0,1
3,5.0,4,4.0,4.0,4.0,2.0,1.0,4,5.0,4.0,3.0,3.0,1.0,1.0,5.0,0.0,,0.0,,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,0.0,,,,,,,,,,,,,5.0,1.0,3.0,5.0,1.0,1.0,1.0,,5.0,1.0,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,2.0,3.0,1
4,1.0,5,5.0,2.0,4.0,2.0,4.0,4,4.0,3.0,1.0,1.0,1.0,1.0,5.0,0.0,,0.0,,4.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,1.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,2.0,0.0,,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,5.0,3.0,1
5,2.0,5,4.0,5.0,5.0,3.0,1.0,1,5.0,4.0,1.0,1.0,1.0,1.0,5.0,0.0,,0.0,,2.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,3.0,,,,,,,,,,1.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,3.0,1
6,4.0,5,5.0,4.0,5.0,2.0,1.0,4,5.0,4.0,3.0,5.0,5.0,4.0,1.0,0.0,,0.0,,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,1.0,0.0,,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1
7,3.0,4,4.0,3.0,4.0,3.0,2.0,3,5.0,5.0,3.0,3.0,3.0,3.0,4.0,0.0,,0.0,,3.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0,,,,,,,,,,,,,2.0,2.0,5.0,4.0,2.0,2.0,1.0,,9.0,0.0,,3.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1
8,4.0,5,4.0,2.0,2.0,2.0,4.0,2,5.0,5.0,2.0,4.0,2.0,3.0,2.0,0.0,,0.0,,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,,,,,,,,,,11.0,0.0,,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1
9,3.0,5,4.0,4.0,4.0,2.0,5.0,3,4.0,4.0,5.0,5.0,4.0,3.0,1.0,0.0,,0.0,,3.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,,,,,,,,,,1.0,1.0,8.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1
10,3.0,5,5.0,5.0,4.0,2.0,4.0,4,4.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,0.0,,4.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,,,,,,,,,,3.0,0.0,,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1
11,4.0,4,4.0,4.0,4.0,4.0,4.0,3,3.0,4.0,2.0,4.0,3.0,3.0,1.0,0.0,,0.0,,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,,,,,,,,,2.0,0.0,,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1
12,3.0,4,4.0,3.0,5.0,4.0,2.0,1,5.0,4.0,3.0,3.0,1.0,3.0,4.0,0.0,,0.0,,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,,,,,,,,,,3.0,0.0,,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,1
13,2.0,5,4.0,4.0,4.0,2.0,3.0,4,4.0,4.0,1.0,1.0,1.0,1.0,5.0,0.0,,0.0,,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,,,,,,,,,,1.0,0.0,,4.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1
14,5.0,4,3.0,4.0,4.0,5.0,1.0,3,4.0,3.0,3.0,3.0,1.0,1.0,5.0,0.0,,0.0,,2.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,,1.0,0.0,,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,1
15,4.0,4,3.0,4.0,5.0,4.0,1.0,5,4.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,,1.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,3.0,0.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1
16,3.0,2,4.0,5.0,5.0,5.0,1.0,2,4.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,,0.0,,3.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,0.0,,,,,,,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,9.0,0.0,,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,,4.0,3.0,1
17,4.0,5,4.0,3.0,5.0,4.0,1.0,3,5.0,5.0,1.0,1.0,5.0,4.0,1.0,0.0,,0.0,,4.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,3.0,0.0,,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,1
18,4.0,4,4.0,4.0,4.0,3.0,1.0,5,5.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,,1.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,,,,,,,,,9.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,1.0,1.0,2.0,4.0,15.0,1.0,,5.0,3.0,1
19,3.0,4,4.0,4.0,5.0,2.0,2.0,4,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,,,,,,,,,,3.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,3.0,3.0,1
