ID,highsal,interest,challeng,special,mathsci,knowledg,family,hobbies,gooddeg,varied,mother,father,careers,teacher,nobody,insight,encourag,discoura,whodisc,practica,curricul,pleased,relevanc,competit,Mconfid,Fhelp,deadline,assess,interper,quality,supplect,supppers,groupwk,teachhrs,friends,coursewk,theory,practwk,designwk,variety,placemen,experien,money,educatio,jobprosp,jobdecid,industry,perdevel,unigrade,apptheor,finalyr,indchart,placothe,wkexp,placloca,breaked,finuni,nogain,noappeal,noaccept,noplaoth,carpath,furstudy,studarea,salary,location,workenv,people,travel,benefits,training,promot,equalopp,flexible,childcar,workrole,charship,gender,age,ethnic,religion,school,year,dept,uni
1,2,4,4,5,5,4,4,3,4,4,4,5,5,5,1,0,9,0,9,5,2,4,3,4,2,2,4,4,4,4,4,5,4,4,5,4,4,5,3,4,1,5,4,4,4,4,4,4,2,4,4,3,1,9,9,9,9,9,9,9,9,3,1,5,4,5,4,4,5,2,4,4,2,5,1,1,1,2,5.0,1,2,1,3,3.0,1
2,3,5,5,4,4,2,5,4,5,4,5,5,4,0,0,0,9,1,0,2,3,5,5,5,4,2,4,4,5,3,3,5,4,4,5,4,4,4,4,3,0,9,9,9,9,9,9,9,9,9,9,9,9,5,0,1,5,1,0,0,0,3,1,2,5,4,3,3,3,4,5,5,1,2,0,1,1,1,4.0,1,2,0,3,3.0,1
3,5,4,4,4,4,2,1,4,5,4,3,3,1,1,5,0,9,0,9,4,3,5,2,4,3,3,4,3,0,5,4,5,3,3,4,3,4,2,3,4,0,9,9,9,9,9,9,9,9,9,9,9,9,5,1,3,5,1,1,1,0,5,1,0,5,5,5,4,4,4,4,4,3,3,3,1,3,1,7.0,1,1,1,2,3.0,1
4,1,5,5,2,4,2,4,4,4,3,1,1,1,1,5,0,9,0,9,4,3,5,2,4,2,3,4,4,4,4,4,3,4,4,5,4,4,4,2,4,1,5,1,2,4,3,5,4,4,4,3,4,0,9,9,9,9,9,9,9,9,2,0,9,4,5,4,4,4,2,3,3,3,4,3,1,1,1,3.0,3,7,1,5,3.0,1
5,2,5,4,5,5,3,1,1,5,4,1,1,1,1,5,0,9,0,9,2,4,5,4,4,1,1,2,4,5,4,4,1,3,4,5,3,4,2,4,4,1,5,4,4,5,5,4,2,2,2,1,3,0,9,9,9,9,9,9,9,9,1,1,5,4,5,4,4,3,5,5,4,5,3,1,1,1,1,6.0,1,1,1,4,3.0,1
6,4,5,5,4,5,2,1,4,5,4,3,5,5,4,1,0,9,0,9,3,3,4,3,4,2,2,3,3,5,3,4,3,5,4,4,3,4,3,4,4,1,5,4,4,5,5,5,4,3,3,3,3,0,9,9,9,9,9,9,9,9,1,0,9,4,4,5,5,3,3,3,4,3,4,1,2,1,1,1.0,1,1,1,1,3.0,1
7,3,4,4,3,4,3,2,3,5,5,3,3,3,3,4,0,9,0,9,3,4,4,2,3,4,2,4,4,4,4,4,4,4,3,4,4,4,3,3,4,0,9,9,9,9,9,9,9,9,9,9,9,9,2,2,5,4,2,2,1,0,9,0,9,3,5,5,4,2,2,5,4,3,4,2,3,2,1,3.0,1,2,1,3,3.0,1
8,4,5,4,2,2,2,4,2,5,5,2,4,2,3,2,0,9,0,9,2,4,4,2,2,4,2,4,2,1,4,4,2,2,4,3,4,4,1,1,4,1,4,2,2,5,5,5,4,3,4,2,2,0,9,9,9,9,9,9,9,9,11,0,9,5,3,4,3,5,3,4,5,3,3,3,1,1,1,2.0,1,1,1,2,3.0,1
9,3,5,4,4,4,2,5,3,4,4,5,5,4,3,1,0,9,0,9,3,4,5,4,3,2,2,4,2,4,4,4,4,3,1,4,4,3,3,4,4,1,5,4,2,4,4,5,4,3,5,3,5,0,9,9,9,9,9,9,9,9,1,1,8,4,4,4,4,4,3,4,5,4,4,4,1,1,2,1.0,1,1,1,1,3.0,1
10,3,5,5,5,4,2,4,4,4,5,4,4,3,4,2,1,1,0,9,4,3,5,2,2,3,3,3,4,4,4,4,3,4,4,5,4,4,4,4,5,1,4,3,3,4,4,5,5,4,5,4,4,0,9,9,9,9,9,9,9,9,3,0,9,4,4,5,4,4,3,5,4,4,3,3,2,1,2,1.0,1,1,1,1,3.0,1
